,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN
0,4.5,68,1537,12,303,1,16,0.04424202992843201,0.039603960396039604,0.0625,0.2,0.13556311413454272,-0.06443688586545729,0.16778155706727138,0.2,0.13556311413454272,-0.06443688586545729,0.33556311413454276
1,3.0,64,3753,10,619,1,19,0.01705302424726885,0.01615508885298869,0.05263157894736842,0.0,-0.020979797979797973,-0.020979797979797973,-0.010489898989898987,0.0,-0.020979797979797973,-0.020979797979797973,-0.020979797979797973
2,4.5,47,686,8,121,1,7,0.06851311953352769,0.06611570247933884,0.14285714285714285,0.0,-0.028571428571428564,-0.028571428571428564,-0.014285714285714282,0.0,-0.028571428571428564,-0.028571428571428564,-0.028571428571428564
3,3.5,73,2788,16,504,1,22,0.02618364418938307,0.031746031746031744,0.045454545454545456,0.0,0.07363445378151261,0.07363445378151261,0.036817226890756304,0.0,0.07363445378151261,0.07363445378151261,0.07363445378151261
4,3.0,67,730,12,130,1,5,0.09178082191780822,0.09230769230769231,0.2,0.0,-0.16845238095238094,-0.16845238095238094,-0.08422619047619047,0.0,-0.16845238095238094,-0.16845238095238094,-0.16845238095238094
5,3.5,88,4333,15,730,1,29,0.020309254558042927,0.02054794520547945,0.034482758620689655,0.0,-0.008974358974358974,-0.008974358974358974,-0.004487179487179487,0.0,-0.008974358974358974,-0.008974358974358974,-0.008974358974358974
6,3.0,71,552,13,94,2,4,0.1286231884057971,0.13829787234042554,0.5,0.0,0.06517857142857142,0.06517857142857142,0.03258928571428571,0.0,0.06517857142857142,0.06517857142857142,0.06517857142857142
7,4.0,100,3254,19,531,1,21,0.03073140749846343,0.035781544256120526,0.047619047619047616,-0.6999999999999998,0.0937418831168831,0.793741883116883,-0.30312905844155835,-0.6999999999999998,0.0937418831168831,0.793741883116883,-0.6062581168831167
8,5.0,59,4137,9,685,1,30,0.014261542180323905,0.013138686131386862,0.03333333333333333,0.0,0.09971424774056352,0.09971424774056352,0.04985712387028176,0.0,0.09971424774056352,0.09971424774056352,0.09971424774056352
9,3.0,69,1223,12,198,1,8,0.056418642681929684,0.06060606060606061,0.125,0.0,-0.03950617283950618,-0.03950617283950618,-0.01975308641975309,0.0,-0.03950617283950618,-0.03950617283950618,-0.03950617283950618
10,4.5,68,2269,13,387,1,19,0.02996914940502424,0.03359173126614987,0.05263157894736842,0.3181818181818182,0.16943506493506494,-0.14874675324675324,0.24380844155844156,0.3181818181818182,0.16943506493506494,-0.14874675324675324,0.4876168831168831
11,3.0,69,9888,11,1700,1,63,0.006978155339805826,0.006470588235294118,0.015873015873015872,0.0,0.0149755741943242,0.0149755741943242,0.0074877870971621,0.0,0.0149755741943242,0.0149755741943242,0.0149755741943242
12,3.5,74,7388,13,1231,1,41,0.010016242555495398,0.010560519902518278,0.024390243902439025,0.1,0.04941013478247523,-0.050589865217524774,0.07470506739123761,0.1,0.04941013478247523,-0.050589865217524774,0.14941013478247522
13,4.5,78,2678,12,427,1,16,0.02912621359223301,0.02810304449648712,0.0625,0.0,-0.032051282051282035,-0.032051282051282035,-0.016025641025641017,0.0,-0.032051282051282035,-0.032051282051282035,-0.032051282051282035
14,4.0,30,3691,6,654,1,30,0.00812787862367922,0.009174311926605505,0.03333333333333333,0.0,0.1582008508732646,0.1582008508732646,0.0791004254366323,0.0,0.1582008508732646,0.1582008508732646,0.1582008508732646
15,3.5,80,6408,16,1076,1,33,0.012484394506866416,0.01486988847583643,0.030303030303030304,-0.3333333333333333,0.08702229940602031,0.4203556327393536,-0.12315551696365651,-0.3333333333333333,0.08702229940602031,0.4203556327393536,-0.24631103392731302
16,4.0,77,2223,13,386,1,20,0.0346378767431399,0.03367875647668394,0.05,0.0,0.11532258064516128,0.11532258064516128,0.05766129032258064,0.0,0.11532258064516128,0.11532258064516128,0.11532258064516128
17,3.5,62,9028,11,1654,1,75,0.006867523260965884,0.006650544135429262,0.013333333333333334,0.13636363636363635,0.11567689207344382,-0.02068674429019253,0.1260202642185401,0.13636363636363635,0.11567689207344382,-0.02068674429019253,0.2520405284370802
18,4.0,55,2401,10,396,1,14,0.022907122032486463,0.025252525252525252,0.07142857142857142,-0.4,0.09012962962962963,0.49012962962962964,-0.1549351851851852,-0.4,0.09012962962962963,0.49012962962962964,-0.3098703703703704
